GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQ1T,EMP
0100000US,,United States,541,"Professional, scientific, and technical services",A,All establishments,808,8 largest firms,2002,3102,56639167,6.4,19040244,4839660,284867
0100000US,,United States,541,"Professional, scientific, and technical services",A,All establishments,820,20 largest firms,2002,6027,98017327,11.1,35209381,8943965,613490
0100000US,,United States,541,"Professional, scientific, and technical services",A,All establishments,850,50 largest firms,2002,15215,143811855,16.2,51909473,13490809,985689
0100000US,,United States,541,"Professional, scientific, and technical services",N,Establishments exempt from federal income tax,001,All firms,2002,5789,20553805,100.0,8129955,1962944,160973
0100000US,,United States,541,"Professional, scientific, and technical services",N,Establishments exempt from federal income tax,804,4 largest firms,2002,166,3114271,15.2,1294970,307831,23690
0100000US,,United States,541,"Professional, scientific, and technical services",N,Establishments exempt from federal income tax,808,8 largest firms,2002,254,5152512,25.1,2309049,566021,37241
0100000US,,United States,541,"Professional, scientific, and technical services",N,Establishments exempt from federal income tax,820,20 largest firms,2002,348,8254031,40.2,3433803,833530,60044
0100000US,,United States,541,"Professional, scientific, and technical services",N,Establishments exempt from federal income tax,850,50 largest firms,2002,579,11949813,58.1,4680601,1130350,81546
0100000US,,United States,541,"Professional, scientific, and technical services",T,Establishments subject to federal income tax,001,All firms,2002,765516,866247233,100.0,367960097,89187209,7082532
0100000US,,United States,541,"Professional, scientific, and technical services",T,Establishments subject to federal income tax,804,4 largest firms,2002,1901,34302205,4.0,10975556,2905935,167753
0100000US,,United States,541,"Professional, scientific, and technical services",T,Establishments subject to federal income tax,808,8 largest firms,2002,3102,56639167,6.5,19040244,4839660,284867
0100000US,,United States,541,"Professional, scientific, and technical services",T,Establishments subject to federal income tax,820,20 largest firms,2002,6027,98017327,11.3,35209381,8943965,613490
0100000US,,United States,541,"Professional, scientific, and technical services",T,Establishments subject to federal income tax,850,50 largest firms,2002,15170,142698873,16.5,52115212,13566373,989291
0100000US,,United States,5411,Legal services,A,All establishments,001,All firms,2002,179420,182098002,100.0,69869100,15510151,1160440
0100000US,,United States,5411,Legal services,A,All establishments,804,4 largest firms,2002,41,3359142,1.8,1064662,252912,10152
0100000US,,United States,5411,Legal services,A,All establishments,808,8 largest firms,2002,67,5790486,3.2,1741598,419909,16649
0100000US,,United States,5411,Legal services,A,All establishments,820,20 largest firms,2002,190,11968926,6.6,3714767,933410,38176
0100000US,,United States,5411,Legal services,A,All establishments,850,50 largest firms,2002,530,23262024,12.8,7569702,1825097,77786
0100000US,,United States,5411,Legal services,N,Establishments exempt from federal income tax,001,All firms,2002,2743,2055650,100.0,1053341,253177,26016
0100000US,,United States,5411,Legal services,N,Establishments exempt from federal income tax,804,4 largest firms,2002,85,249675,12.1,144147,36146,2913
0100000US,,United States,5411,Legal services,N,Establishments exempt from federal income tax,808,8 largest firms,2002,99,343460,16.7,162435,40543,3260
0100000US,,United States,5411,Legal services,N,Establishments exempt from federal income tax,820,20 largest firms,2002,217,509317,24.8,242350,58882,4987
0100000US,,United States,5411,Legal services,N,Establishments exempt from federal income tax,850,50 largest firms,2002,395,768617,37.4,379812,93790,8384
0100000US,,United States,5411,Legal services,T,Establishments subject to federal income tax,001,All firms,2002,176677,180042352,100.0,68815759,15256974,1134424
0100000US,,United States,5411,Legal services,T,Establishments subject to federal income tax,804,4 largest firms,2002,41,3359142,1.9,1064662,252912,10152
0100000US,,United States,5411,Legal services,T,Establishments subject to federal income tax,808,8 largest firms,2002,67,5790486,3.2,1741598,419909,16649
0100000US,,United States,5411,Legal services,T,Establishments subject to federal income tax,820,20 largest firms,2002,190,11968926,6.6,3714767,933410,38176
0100000US,,United States,5411,Legal services,T,Establishments subject to federal income tax,850,50 largest firms,2002,530,23262024,12.9,7569702,1825097,77786
0100000US,,United States,54111,Offices of lawyers,A,All establishments,001,All firms,2002,169120,172863871,100.0,66761394,14810166,1080428
0100000US,,United States,54111,Offices of lawyers,A,All establishments,804,4 largest firms,2002,41,3359142,1.9,1064662,252912,10152
0100000US,,United States,54111,Offices of lawyers,A,All establishments,808,8 largest firms,2002,67,5790486,3.3,1741598,419909,16649
0100000US,,United States,54111,Offices of lawyers,A,All establishments,820,20 largest firms,2002,190,11968926,6.9,3714767,933410,38176
0100000US,,United States,54111,Offices of lawyers,A,All establishments,850,50 largest firms,2002,378,23071323,13.3,7583681,1823831,76364
0100000US,,United States,54111,Offices of lawyers,N,Establishments exempt from federal income tax,001,All firms,2002,2743,2055650,100.0,1053341,253177,26016
0100000US,,United States,54111,Offices of lawyers,N,Establishments exempt from federal income tax,804,4 largest firms,2002,85,249675,12.1,144147,36146,2913
0100000US,,United States,54111,Offices of lawyers,N,Establishments exempt from federal income tax,808,8 largest firms,2002,99,343460,16.7,162435,40543,3260
0100000US,,United States,54111,Offices of lawyers,N,Establishments exempt from federal income tax,820,20 largest firms,2002,217,509317,24.8,242350,58882,4987
0100000US,,United States,54111,Offices of lawyers,N,Establishments exempt from federal income tax,850,50 largest firms,2002,395,768617,37.4,379812,93790,8384
0100000US,,United States,54111,Offices of lawyers,T,Establishments subject to federal income tax,001,All firms,2002,166377,170808221,100.0,65708053,14556989,1054412
0100000US,,United States,54111,Offices of lawyers,T,Establishments subject to federal income tax,804,4 largest firms,2002,41,3359142,2.0,1064662,252912,10152
0100000US,,United States,54111,Offices of lawyers,T,Establishments subject to federal income tax,808,8 largest firms,2002,67,5790486,3.4,1741598,419909,16649
0100000US,,United States,54111,Offices of lawyers,T,Establishments subject to federal income tax,820,20 largest firms,2002,190,11968926,7.0,3714767,933410,38176
0100000US,,United States,54111,Offices of lawyers,T,Establishments subject to federal income tax,850,50 largest firms,2002,378,23071323,13.5,7583681,1823831,76364
0100000US,,United States,541110,Offices of lawyers,A,All establishments,001,All firms,2002,169120,172863871,100.0,66761394,14810166,1080428
0100000US,,United States,541110,Offices of lawyers,A,All establishments,804,4 largest firms,2002,41,3359142,1.9,1064662,252912,10152
0100000US,,United States,541110,Offices of lawyers,A,All establishments,808,8 largest firms,2002,67,5790486,3.3,1741598,419909,16649
0100000US,,United States,541110,Offices of lawyers,A,All establishments,820,20 largest firms,2002,190,11968926,6.9,3714767,933410,38176
0100000US,,United States,541110,Offices of lawyers,A,All establishments,850,50 largest firms,2002,378,23071323,13.3,7583681,1823831,76364
0100000US,,United States,541110,Offices of lawyers,N,Establishments exempt from federal income tax,001,All firms,2002,2743,2055650,100.0,1053341,253177,26016
0100000US,,United States,541110,Offices of lawyers,N,Establishments exempt from federal income tax,804,4 largest firms,2002,85,249675,12.1,144147,36146,2913
0100000US,,United States,541110,Offices of lawyers,N,Establishments exempt from federal income tax,808,8 largest firms,2002,99,343460,16.7,162435,40543,3260
0100000US,,United States,541110,Offices of lawyers,N,Establishments exempt from federal income tax,820,20 largest firms,2002,217,509317,24.8,242350,58882,4987
0100000US,,United States,541110,Offices of lawyers,N,Establishments exempt from federal income tax,850,50 largest firms,2002,395,768617,37.4,379812,93790,8384
0100000US,,United States,541110,Offices of lawyers,T,Establishments subject to federal income tax,001,All firms,2002,166377,170808221,100.0,65708053,14556989,1054412
0100000US,,United States,541110,Offices of lawyers,T,Establishments subject to federal income tax,804,4 largest firms,2002,41,3359142,2.0,1064662,252912,10152
0100000US,,United States,541110,Offices of lawyers,T,Establishments subject to federal income tax,808,8 largest firms,2002,67,5790486,3.4,1741598,419909,16649
0100000US,,United States,541110,Offices of lawyers,T,Establishments subject to federal income tax,820,20 largest firms,2002,190,11968926,7.0,3714767,933410,38176
0100000US,,United States,541110,Offices of lawyers,T,Establishments subject to federal income tax,850,50 largest firms,2002,378,23071323,13.5,7583681,1823831,76364
0100000US,,United States,5411101,Offices of lawyers,A,All establishments,001,All firms,2002,166377,170808221,100.0,65708053,14556989,1054412
0100000US,,United States,5411101,Offices of lawyers,A,All establishments,804,4 largest firms,2002,41,3359142,2.0,1064662,252912,10152
0100000US,,United States,5411101,Offices of lawyers,A,All establishments,808,8 largest firms,2002,67,5790486,3.4,1741598,419909,16649
0100000US,,United States,5411101,Offices of lawyers,A,All establishments,820,20 largest firms,2002,190,11968926,7.0,3714767,933410,38176
0100000US,,United States,5411101,Offices of lawyers,A,All establishments,850,50 largest firms,2002,378,23071323,13.5,7583681,1823831,76364
0100000US,,United States,5411101,Offices of lawyers,T,Establishments subject to federal income tax,001,All firms,2002,166377,170808221,100.0,65708053,14556989,1054412
0100000US,,United States,5411101,Offices of lawyers,T,Establishments subject to federal income tax,804,4 largest firms,2002,41,3359142,2.0,1064662,252912,10152
0100000US,,United States,5411101,Offices of lawyers,T,Establishments subject to federal income tax,808,8 largest firms,2002,67,5790486,3.4,1741598,419909,16649
0100000US,,United States,5411101,Offices of lawyers,T,Establishments subject to federal income tax,820,20 largest firms,2002,190,11968926,7.0,3714767,933410,38176
0100000US,,United States,5411101,Offices of lawyers,T,Establishments subject to federal income tax,850,50 largest firms,2002,378,23071323,13.5,7583681,1823831,76364
0100000US,,United States,5411102,Legal aid societies and similar legal services,A,All establishments,001,All firms,2002,2743,2055650,100.0,1053341,253177,26016
0100000US,,United States,5411102,Legal aid societies and similar legal services,A,All establishments,804,4 largest firms,2002,85,249675,12.1,144147,36146,2913
0100000US,,United States,5411102,Legal aid societies and similar legal services,A,All establishments,808,8 largest firms,2002,99,343460,16.7,162435,40543,3260
0100000US,,United States,5411102,Legal aid societies and similar legal services,A,All establishments,820,20 largest firms,2002,217,509317,24.8,242350,58882,4987
0100000US,,United States,5411102,Legal aid societies and similar legal services,A,All establishments,850,50 largest firms,2002,395,768617,37.4,379812,93790,8384
0100000US,,United States,5411102,Legal aid societies and similar legal services,N,Establishments exempt from federal income tax,001,All firms,2002,2743,2055650,100.0,1053341,253177,26016
0100000US,,United States,5411102,Legal aid societies and similar legal services,N,Establishments exempt from federal income tax,804,4 largest firms,2002,85,249675,12.1,144147,36146,2913
0100000US,,United States,5411102,Legal aid societies and similar legal services,N,Establishments exempt from federal income tax,808,8 largest firms,2002,99,343460,16.7,162435,40543,3260
0100000US,,United States,5411102,Legal aid societies and similar legal services,N,Establishments exempt from federal income tax,820,20 largest firms,2002,217,509317,24.8,242350,58882,4987
0100000US,,United States,5411102,Legal aid societies and similar legal services,N,Establishments exempt from federal income tax,850,50 largest firms,2002,395,768617,37.4,379812,93790,8384
0100000US,,United States,54119,Other legal services,A,All establishments,001,All firms,2002,10300,9234131,100.0,3107706,699985,80012
0100000US,,United States,54119,Other legal services,A,All establishments,804,4 largest firms,2002,358,1298205,14.1,319305,82109,6187
0100000US,,United States,54119,Other legal services,A,All establishments,808,8 largest firms,2002,479,1743504,18.9,425412,106779,8231
0100000US,,United States,54119,Other legal services,A,All establishments,820,20 largest firms,2002,777,2539854,27.5,652303,158839,13842
0100000US,,United States,54119,Other legal services,A,All establishments,850,50 largest firms,2002,946,3301077,35.7,913418,219801,19868
0100000US,,United States,54119,Other legal services,T,Establishments subject to federal income tax,001,All firms,2002,10300,9234131,100.0,3107706,699985,80012
0100000US,,United States,54119,Other legal services,T,Establishments subject to federal income tax,804,4 largest firms,2002,358,1298205,14.1,319305,82109,6187
0100000US,,United States,54119,Other legal services,T,Establishments subject to federal income tax,808,8 largest firms,2002,479,1743504,18.9,425412,106779,8231
0100000US,,United States,54119,Other legal services,T,Establishments subject to federal income tax,820,20 largest firms,2002,777,2539854,27.5,652303,158839,13842
0100000US,,United States,54119,Other legal services,T,Establishments subject to federal income tax,850,50 largest firms,2002,946,3301077,35.7,913418,219801,19868
0100000US,,United States,541191,Title abstract and settlement offices,A,All establishments,001,All firms,2002,8013,7600419,100.0,2608123,584204,65833
0100000US,,United States,541191,Title abstract and settlement offices,A,All establishments,804,4 largest firms,2002,362,1230819,16.2,311386,78133,6050
0100000US,,United States,541191,Title abstract and settlement offices,A,All establishments,808,8 largest firms,2002,452,1659772,21.8,414291,102938,8092
0100000US,,United States,541191,Title abstract and settlement offices,A,All establishments,820,20 largest firms,2002,734,2317302,30.5,608371,147359,13105
0100000US,,United States,541191,Title abstract and settlement offices,A,All establishments,850,50 largest firms,2002,968,2943500,38.7,838718,200930,18249
0100000US,,United States,541191,Title abstract and settlement offices,T,Establishments subject to federal income tax,001,All firms,2002,8013,7600419,100.0,2608123,584204,65833
0100000US,,United States,541191,Title abstract and settlement offices,T,Establishments subject to federal income tax,804,4 largest firms,2002,362,1230819,16.2,311386,78133,6050
0100000US,,United States,541191,Title abstract and settlement offices,T,Establishments subject to federal income tax,808,8 largest firms,2002,452,1659772,21.8,414291,102938,8092
0100000US,,United States,541191,Title abstract and settlement offices,T,Establishments subject to federal income tax,820,20 largest firms,2002,734,2317302,30.5,608371,147359,13105
0100000US,,United States,541191,Title abstract and settlement offices,T,Establishments subject to federal income tax,850,50 largest firms,2002,968,2943500,38.7,838718,200930,18249
0100000US,,United States,541199,All other legal services,A,All establishments,001,All firms,2002,2287,1633712,100.0,499583,115781,14179
0100000US,,United States,541199,All other legal services,A,All establishments,804,4 largest firms,2002,61,357254,21.9,86446,21144,1768
0100000US,,United States,541199,All other legal services,A,All establishments,808,8 largest firms,2002,67,457418,28.0,125960,30960,2557
0100000US,,United States,541199,All other legal services,A,All establishments,820,20 largest firms,2002,80,663153,40.6,188471,43578,3799
0100000US,,United States,541199,All other legal services,A,All establishments,850,50 largest firms,2002,133,868184,53.1,252518,59062,5737
0100000US,,United States,541199,All other legal services,T,Establishments subject to federal income tax,001,All firms,2002,2287,1633712,100.0,499583,115781,14179
0100000US,,United States,541199,All other legal services,T,Establishments subject to federal income tax,804,4 largest firms,2002,61,357254,21.9,86446,21144,1768
0100000US,,United States,541199,All other legal services,T,Establishments subject to federal income tax,808,8 largest firms,2002,67,457418,28.0,125960,30960,2557
0100000US,,United States,541199,All other legal services,T,Establishments subject to federal income tax,820,20 largest firms,2002,80,663153,40.6,188471,43578,3799
0100000US,,United States,541199,All other legal services,T,Establishments subject to federal income tax,850,50 largest firms,2002,133,868184,53.1,252518,59062,5737
0100000US,,United States,5412,"Accounting, tax preparation, bookkeeping, and payroll services",A,All establishments,001,All firms,2002,112240,84072026,100.0,41271953,10432741,1317281
0100000US,,United States,5412,"Accounting, tax preparation, bookkeeping, and payroll services",A,All establishments,804,4 largest firms,2002,1336,18138928,21.6,6859985,1787409,209694
0100000US,,United States,5412,"Accounting, tax preparation, bookkeeping, and payroll services",A,All establishments,808,8 largest firms,2002,7226,28316808,33.7,10576256,2998527,390214
0100000US,,United States,5412,"Accounting, tax preparation, bookkeeping, and payroll services",A,All establishments,820,20 largest firms,2002,7768,35367330,42.1,14346180,3873762,468679
0100000US,,United States,5412,"Accounting, tax preparation, bookkeeping, and payroll services",A,All establishments,850,50 largest firms,2002,8164,39497749,47.0,16581759,4410977,531257
0100000US,,United States,5412,"Accounting, tax preparation, bookkeeping, and payroll services",T,Establishments subject to federal income tax,001,All firms,2002,112240,84072026,100.0,41271953,10432741,1317281
0100000US,,United States,5412,"Accounting, tax preparation, bookkeeping, and payroll services",T,Establishments subject to federal income tax,804,4 largest firms,2002,1336,18138928,21.6,6859985,1787409,209694
0100000US,,United States,5412,"Accounting, tax preparation, bookkeeping, and payroll services",T,Establishments subject to federal income tax,808,8 largest firms,2002,7226,28316808,33.7,10576256,2998527,390214
0100000US,,United States,5412,"Accounting, tax preparation, bookkeeping, and payroll services",T,Establishments subject to federal income tax,820,20 largest firms,2002,7768,35367330,42.1,14346180,3873762,468679
0100000US,,United States,5412,"Accounting, tax preparation, bookkeeping, and payroll services",T,Establishments subject to federal income tax,850,50 largest firms,2002,8164,39497749,47.0,16581759,4410977,531257
0100000US,,United States,54121,"Accounting, tax preparation, bookkeeping, and payroll services",A,All establishments,001,All firms,2002,112240,84072026,100.0,41271953,10432741,1317281
0100000US,,United States,54121,"Accounting, tax preparation, bookkeeping, and payroll services",A,All establishments,804,4 largest firms,2002,1336,18138928,21.6,6859985,1787409,209694
0100000US,,United States,54121,"Accounting, tax preparation, bookkeeping, and payroll services",A,All establishments,808,8 largest firms,2002,7226,28316808,33.7,10576256,2998527,390214
0100000US,,United States,54121,"Accounting, tax preparation, bookkeeping, and payroll services",A,All establishments,820,20 largest firms,2002,7768,35367330,42.1,14346180,3873762,468679
0100000US,,United States,54121,"Accounting, tax preparation, bookkeeping, and payroll services",A,All establishments,850,50 largest firms,2002,8164,39497749,47.0,16581759,4410977,531257
0100000US,,United States,54121,"Accounting, tax preparation, bookkeeping, and payroll services",T,Establishments subject to federal income tax,001,All firms,2002,112240,84072026,100.0,41271953,10432741,1317281
0100000US,,United States,54121,"Accounting, tax preparation, bookkeeping, and payroll services",T,Establishments subject to federal income tax,804,4 largest firms,2002,1336,18138928,21.6,6859985,1787409,209694
0100000US,,United States,54121,"Accounting, tax preparation, bookkeeping, and payroll services",T,Establishments subject to federal income tax,808,8 largest firms,2002,7226,28316808,33.7,10576256,2998527,390214
0100000US,,United States,54121,"Accounting, tax preparation, bookkeeping, and payroll services",T,Establishments subject to federal income tax,820,20 largest firms,2002,7768,35367330,42.1,14346180,3873762,468679
0100000US,,United States,54121,"Accounting, tax preparation, bookkeeping, and payroll services",T,Establishments subject to federal income tax,850,50 largest firms,2002,8164,39497749,47.0,16581759,4410977,531257
0100000US,,United States,541211,Offices of certified public accountants,A,All establishments,001,All firms,2002,56705,48497646,100.0,20334080,4910477,426208
0100000US,,United States,541211,Offices of certified public accountants,A,All establishments,804,4 largest firms,2002,1370,16474267,34.0,5355498,1254275,75156
0100000US,,United States,541211,Offices of certified public accountants,A,All establishments,808,8 largest firms,2002,1590,19362569,39.9,6748499,1773570,106407
0100000US,,United States,541211,Offices of certified public accountants,A,All establishments,820,20 largest firms,2002,1917,21086051,43.5,7465992,1957645,119559
0100000US,,United States,541211,Offices of certified public accountants,A,All establishments,850,50 largest firms,2002,2094,22271716,45.9,7934232,2075713,129836
0100000US,,United States,541211,Offices of certified public accountants,T,Establishments subject to federal income tax,001,All firms,2002,56705,48497646,100.0,20334080,4910477,426208
0100000US,,United States,541211,Offices of certified public accountants,T,Establishments subject to federal income tax,804,4 largest firms,2002,1370,16474267,34.0,5355498,1254275,75156
0100000US,,United States,541211,Offices of certified public accountants,T,Establishments subject to federal income tax,808,8 largest firms,2002,1590,19362569,39.9,6748499,1773570,106407
0100000US,,United States,541211,Offices of certified public accountants,T,Establishments subject to federal income tax,820,20 largest firms,2002,1917,21086051,43.5,7465992,1957645,119559
0100000US,,United States,541211,Offices of certified public accountants,T,Establishments subject to federal income tax,850,50 largest firms,2002,2094,22271716,45.9,7934232,2075713,129836
0100000US,,United States,541213,Tax preparation services,A,All establishments,001,All firms,2002,19242,4128662,100.0,1466382,538800,205122
0100000US,,United States,541213,Tax preparation services,A,All establishments,804,4 largest firms,2002,5932,D,D,D,D,m
0100000US,,United States,541213,Tax preparation services,A,All establishments,808,8 largest firms,2002,5967,D,D,D,D,m
0100000US,,United States,541213,Tax preparation services,A,All establishments,820,20 largest firms,2002,6054,2155794,52.2,663474,291307,127833
0100000US,,United States,541213,Tax preparation services,A,All establishments,850,50 largest firms,2002,6193,2255766,54.6,699908,303603,130905
0100000US,,United States,541213,Tax preparation services,T,Establishments subject to federal income tax,001,All firms,2002,19242,4128662,100.0,1466382,538800,205122
0100000US,,United States,541213,Tax preparation services,T,Establishments subject to federal income tax,804,4 largest firms,2002,5932,D,D,D,D,m
0100000US,,United States,541213,Tax preparation services,T,Establishments subject to federal income tax,808,8 largest firms,2002,5967,D,D,D,D,m
0100000US,,United States,541213,Tax preparation services,T,Establishments subject to federal income tax,820,20 largest firms,2002,6054,2155794,52.2,663474,291307,127833
0100000US,,United States,541213,Tax preparation services,T,Establishments subject to federal income tax,850,50 largest firms,2002,6193,2255766,54.6,699908,303603,130905
0100000US,,United States,541214,Payroll services,A,All establishments,001,All firms,2002,4064,21417643,100.0,14256292,3704649,508299
0100000US,,United States,541214,Payroll services,A,All establishments,804,4 largest firms,2002,346,10314302,48.2,5045883,1431069,201653
0100000US,,United States,541214,Payroll services,A,All establishments,808,8 largest firms,2002,581,12966069,60.5,6316308,1713285,240094
0100000US,,United States,541214,Payroll services,A,All establishments,820,20 largest firms,2002,598,15191591,70.9,7783433,2023641,282738
0100000US,,United States,541214,Payroll services,A,All establishments,850,50 largest firms,2002,645,16664498,77.8,8954062,2325265,326362
0100000US,,United States,541214,Payroll services,T,Establishments subject to federal income tax,001,All firms,2002,4064,21417643,100.0,14256292,3704649,508299
0100000US,,United States,541214,Payroll services,T,Establishments subject to federal income tax,804,4 largest firms,2002,346,10314302,48.2,5045883,1431069,201653
0100000US,,United States,541214,Payroll services,T,Establishments subject to federal income tax,808,8 largest firms,2002,581,12966069,60.5,6316308,1713285,240094
0100000US,,United States,541214,Payroll services,T,Establishments subject to federal income tax,820,20 largest firms,2002,598,15191591,70.9,7783433,2023641,282738
0100000US,,United States,541214,Payroll services,T,Establishments subject to federal income tax,850,50 largest firms,2002,645,16664498,77.8,8954062,2325265,326362
0100000US,,United States,541219,Other accounting services,A,All establishments,001,All firms,2002,32229,10028075,100.0,5215199,1278815,177652
0100000US,,United States,541219,Other accounting services,A,All establishments,804,4 largest firms,2002,92,708564,7.1,371175,87591,5889
0100000US,,United States,541219,Other accounting services,A,All establishments,808,8 largest firms,2002,131,1012819,10.1,509707,118217,8859
0100000US,,United States,541219,Other accounting services,A,All establishments,820,20 largest firms,2002,162,1620162,16.2,679200,158962,13661
0100000US,,United States,541219,Other accounting services,A,All establishments,850,50 largest firms,2002,228,2159770,21.5,912232,215129,19248
0100000US,,United States,541219,Other accounting services,T,Establishments subject to federal income tax,001,All firms,2002,32229,10028075,100.0,5215199,1278815,177652
0100000US,,United States,541219,Other accounting services,T,Establishments subject to federal income tax,804,4 largest firms,2002,92,708564,7.1,371175,87591,5889
0100000US,,United States,541219,Other accounting services,T,Establishments subject to federal income tax,808,8 largest firms,2002,131,1012819,10.1,509707,118217,8859
0100000US,,United States,541219,Other accounting services,T,Establishments subject to federal income tax,820,20 largest firms,2002,162,1620162,16.2,679200,158962,13661
0100000US,,United States,541219,Other accounting services,T,Establishments subject to federal income tax,850,50 largest firms,2002,228,2159770,21.5,912232,215129,19248
0100000US,,United States,5413,"Architectural, engineering, and related services",A,All establishments,001,All firms,2002,107386,161835036,100.0,68015127,16086638,1266816
0100000US,,United States,5413,"Architectural, engineering, and related services",A,All establishments,804,4 largest firms,2002,198,11781037,7.3,2940633,701700,37600
0100000US,,United States,5413,"Architectural, engineering, and related services",A,All establishments,808,8 largest firms,2002,749,19046291,11.8,5362711,1331688,79965
0100000US,,United States,5413,"Architectural, engineering, and related services",A,All establishments,820,20 largest firms,2002,1713,30110229,18.6,9299194,2304145,141314
0100000US,,United States,5413,"Architectural, engineering, and related services",A,All establishments,850,50 largest firms,2002,2509,41127755,25.4,13071762,3242101,202627
0100000US,,United States,5413,"Architectural, engineering, and related services",T,Establishments subject to federal income tax,001,All firms,2002,107386,161835036,100.0,68015127,16086638,1266816
0100000US,,United States,5413,"Architectural, engineering, and related services",T,Establishments subject to federal income tax,804,4 largest firms,2002,198,11781037,7.3,2940633,701700,37600
0100000US,,United States,5413,"Architectural, engineering, and related services",T,Establishments subject to federal income tax,808,8 largest firms,2002,749,19046291,11.8,5362711,1331688,79965
0100000US,,United States,5413,"Architectural, engineering, and related services",T,Establishments subject to federal income tax,820,20 largest firms,2002,1713,30110229,18.6,9299194,2304145,141314
0100000US,,United States,5413,"Architectural, engineering, and related services",T,Establishments subject to federal income tax,850,50 largest firms,2002,2509,41127755,25.4,13071762,3242101,202627
0100000US,,United States,54131,Architectural services,A,All establishments,001,All firms,2002,23263,25240181,100.0,9713240,2188515,185457
0100000US,,United States,54131,Architectural services,A,All establishments,804,4 largest firms,2002,43,1111177,4.4,305328,74248,4364
0100000US,,United States,54131,Architectural services,A,All establishments,808,8 largest firms,2002,67,1586625,6.3,491905,118184,7120
0100000US,,United States,54131,Architectural services,A,All establishments,820,20 largest firms,2002,159,2579079,10.2,895626,214427,13120
0100000US,,United States,54131,Architectural services,A,All establishments,850,50 largest firms,2002,252,4090161,16.2,1516756,364552,22527
0100000US,,United States,54131,Architectural services,T,Establishments subject to federal income tax,001,All firms,2002,23263,25240181,100.0,9713240,2188515,185457
0100000US,,United States,54131,Architectural services,T,Establishments subject to federal income tax,804,4 largest firms,2002,43,1111177,4.4,305328,74248,4364
0100000US,,United States,54131,Architectural services,T,Establishments subject to federal income tax,808,8 largest firms,2002,67,1586625,6.3,491905,118184,7120
0100000US,,United States,54131,Architectural services,T,Establishments subject to federal income tax,820,20 largest firms,2002,159,2579079,10.2,895626,214427,13120
0100000US,,United States,54131,Architectural services,T,Establishments subject to federal income tax,850,50 largest firms,2002,252,4090161,16.2,1516756,364552,22527
0100000US,,United States,541310,Architectural services,A,All establishments,001,All firms,2002,23263,25240181,100.0,9713240,2188515,185457
0100000US,,United States,541310,Architectural services,A,All establishments,804,4 largest firms,2002,43,1111177,4.4,305328,74248,4364
