GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VALPCT,PAYANT,PAYQ1T,EMP
0100000US,,United States,6211,Offices of physicians,T,Establishments subject to federal income tax,001,All firms,2002,203118,248824594,100.0,112856035,24726758,1908760
0100000US,,United States,6211,Offices of physicians,T,Establishments subject to federal income tax,804,4 largest firms,2002,456,8404331,3.4,3541632,889656,62792
0100000US,,United States,6211,Offices of physicians,T,Establishments subject to federal income tax,808,8 largest firms,2002,906,10740257,4.3,4453213,1113689,80090
0100000US,,United States,6211,Offices of physicians,T,Establishments subject to federal income tax,820,20 largest firms,2002,1640,15323980,6.2,6437056,1598464,106812
0100000US,,United States,6211,Offices of physicians,T,Establishments subject to federal income tax,850,50 largest firms,2002,2738,22376094,9.0,9237091,2267666,151087
0100000US,,United States,62111,Offices of physicians,A,All establishments,001,All firms,2002,203118,248824594,100.0,112856035,24726758,1908760
0100000US,,United States,62111,Offices of physicians,A,All establishments,804,4 largest firms,2002,456,8404331,3.4,3541632,889656,62792
0100000US,,United States,62111,Offices of physicians,A,All establishments,808,8 largest firms,2002,906,10740257,4.3,4453213,1113689,80090
0100000US,,United States,62111,Offices of physicians,A,All establishments,820,20 largest firms,2002,1640,15323980,6.2,6437056,1598464,106812
0100000US,,United States,62111,Offices of physicians,A,All establishments,850,50 largest firms,2002,2738,22376094,9.0,9237091,2267666,151087
0100000US,,United States,62111,Offices of physicians,T,Establishments subject to federal income tax,001,All firms,2002,203118,248824594,100.0,112856035,24726758,1908760
0100000US,,United States,62111,Offices of physicians,T,Establishments subject to federal income tax,804,4 largest firms,2002,456,8404331,3.4,3541632,889656,62792
0100000US,,United States,62111,Offices of physicians,T,Establishments subject to federal income tax,808,8 largest firms,2002,906,10740257,4.3,4453213,1113689,80090
0100000US,,United States,62111,Offices of physicians,T,Establishments subject to federal income tax,820,20 largest firms,2002,1640,15323980,6.2,6437056,1598464,106812
0100000US,,United States,62111,Offices of physicians,T,Establishments subject to federal income tax,850,50 largest firms,2002,2738,22376094,9.0,9237091,2267666,151087
0100000US,,United States,621111,Offices of physicians (except mental health specialists),A,All establishments,001,All firms,2002,192794,244866476,100.0,111116936,24327837,1868437
0100000US,,United States,621111,Offices of physicians (except mental health specialists),A,All establishments,804,4 largest firms,2002,456,8404331,3.4,3541632,889656,62792
0100000US,,United States,621111,Offices of physicians (except mental health specialists),A,All establishments,808,8 largest firms,2002,906,10740257,4.4,4453213,1113689,80090
0100000US,,United States,621111,Offices of physicians (except mental health specialists),A,All establishments,820,20 largest firms,2002,1631,15309849,6.3,6427003,1595517,106658
0100000US,,United States,621111,Offices of physicians (except mental health specialists),A,All establishments,850,50 largest firms,2002,2720,22343025,9.1,9216028,2261882,150741
0100000US,,United States,621111,Offices of physicians (except mental health specialists),T,Establishments subject to federal income tax,001,All firms,2002,192794,244866476,100.0,111116936,24327837,1868437
0100000US,,United States,621111,Offices of physicians (except mental health specialists),T,Establishments subject to federal income tax,804,4 largest firms,2002,456,8404331,3.4,3541632,889656,62792
0100000US,,United States,621111,Offices of physicians (except mental health specialists),T,Establishments subject to federal income tax,808,8 largest firms,2002,906,10740257,4.4,4453213,1113689,80090
0100000US,,United States,621111,Offices of physicians (except mental health specialists),T,Establishments subject to federal income tax,820,20 largest firms,2002,1631,15309849,6.3,6427003,1595517,106658
0100000US,,United States,621111,Offices of physicians (except mental health specialists),T,Establishments subject to federal income tax,850,50 largest firms,2002,2720,22343025,9.1,9216028,2261882,150741
0100000US,,United States,621112,"Offices of physicians, mental health specialists",A,All establishments,001,All firms,2002,10324,3958118,100.0,1739099,398921,40323
0100000US,,United States,621112,"Offices of physicians, mental health specialists",A,All establishments,804,4 largest firms,2002,13,222851,5.6,70977,16627,740
0100000US,,United States,621112,"Offices of physicians, mental health specialists",A,All establishments,808,8 largest firms,2002,27,283682,7.2,108819,25468,1756
0100000US,,United States,621112,"Offices of physicians, mental health specialists",A,All establishments,820,20 largest firms,2002,60,412317,10.4,179374,42282,3436
0100000US,,United States,621112,"Offices of physicians, mental health specialists",A,All establishments,850,50 largest firms,2002,118,609527,15.4,283809,67909,6007
0100000US,,United States,621112,"Offices of physicians, mental health specialists",T,Establishments subject to federal income tax,001,All firms,2002,10324,3958118,100.0,1739099,398921,40323
0100000US,,United States,621112,"Offices of physicians, mental health specialists",T,Establishments subject to federal income tax,804,4 largest firms,2002,13,222851,5.6,70977,16627,740
0100000US,,United States,621112,"Offices of physicians, mental health specialists",T,Establishments subject to federal income tax,808,8 largest firms,2002,27,283682,7.2,108819,25468,1756
0100000US,,United States,621112,"Offices of physicians, mental health specialists",T,Establishments subject to federal income tax,820,20 largest firms,2002,60,412317,10.4,179374,42282,3436
0100000US,,United States,621112,"Offices of physicians, mental health specialists",T,Establishments subject to federal income tax,850,50 largest firms,2002,118,609527,15.4,283809,67909,6007
0100000US,,United States,6212,Offices of dentists,A,All establishments,001,All firms,2002,118305,71102922,100.0,25856163,5774758,743628
0100000US,,United States,6212,Offices of dentists,A,All establishments,804,4 largest firms,2002,910,1096739,1.5,240827,60581,7359
0100000US,,United States,6212,Offices of dentists,A,All establishments,808,8 largest firms,2002,1419,1518542,2.1,387874,96502,10976
0100000US,,United States,6212,Offices of dentists,A,All establishments,820,20 largest firms,2002,1735,2147084,3.0,581794,141535,14761
0100000US,,United States,6212,Offices of dentists,A,All establishments,850,50 largest firms,2002,2038,2844203,4.0,880736,209007,20279
0100000US,,United States,6212,Offices of dentists,T,Establishments subject to federal income tax,001,All firms,2002,118305,71102922,100.0,25856163,5774758,743628
0100000US,,United States,6212,Offices of dentists,T,Establishments subject to federal income tax,804,4 largest firms,2002,910,1096739,1.5,240827,60581,7359
0100000US,,United States,6212,Offices of dentists,T,Establishments subject to federal income tax,808,8 largest firms,2002,1419,1518542,2.1,387874,96502,10976
0100000US,,United States,6212,Offices of dentists,T,Establishments subject to federal income tax,820,20 largest firms,2002,1735,2147084,3.0,581794,141535,14761
0100000US,,United States,6212,Offices of dentists,T,Establishments subject to federal income tax,850,50 largest firms,2002,2038,2844203,4.0,880736,209007,20279
0100000US,,United States,62121,Offices of dentists,A,All establishments,001,All firms,2002,118305,71102922,100.0,25856163,5774758,743628
0100000US,,United States,62121,Offices of dentists,A,All establishments,804,4 largest firms,2002,910,1096739,1.5,240827,60581,7359
0100000US,,United States,62121,Offices of dentists,A,All establishments,808,8 largest firms,2002,1419,1518542,2.1,387874,96502,10976
0100000US,,United States,62121,Offices of dentists,A,All establishments,820,20 largest firms,2002,1735,2147084,3.0,581794,141535,14761
0100000US,,United States,62121,Offices of dentists,A,All establishments,850,50 largest firms,2002,2038,2844203,4.0,880736,209007,20279
0100000US,,United States,62121,Offices of dentists,T,Establishments subject to federal income tax,001,All firms,2002,118305,71102922,100.0,25856163,5774758,743628
0100000US,,United States,62121,Offices of dentists,T,Establishments subject to federal income tax,804,4 largest firms,2002,910,1096739,1.5,240827,60581,7359
0100000US,,United States,62121,Offices of dentists,T,Establishments subject to federal income tax,808,8 largest firms,2002,1419,1518542,2.1,387874,96502,10976
0100000US,,United States,62121,Offices of dentists,T,Establishments subject to federal income tax,820,20 largest firms,2002,1735,2147084,3.0,581794,141535,14761
0100000US,,United States,62121,Offices of dentists,T,Establishments subject to federal income tax,850,50 largest firms,2002,2038,2844203,4.0,880736,209007,20279
0100000US,,United States,621210,Offices of dentists,A,All establishments,001,All firms,2002,118305,71102922,100.0,25856163,5774758,743628
0100000US,,United States,621210,Offices of dentists,A,All establishments,804,4 largest firms,2002,910,1096739,1.5,240827,60581,7359
0100000US,,United States,621210,Offices of dentists,A,All establishments,808,8 largest firms,2002,1419,1518542,2.1,387874,96502,10976
0100000US,,United States,621210,Offices of dentists,A,All establishments,820,20 largest firms,2002,1735,2147084,3.0,581794,141535,14761
0100000US,,United States,621210,Offices of dentists,A,All establishments,850,50 largest firms,2002,2038,2844203,4.0,880736,209007,20279
0100000US,,United States,621210,Offices of dentists,T,Establishments subject to federal income tax,001,All firms,2002,118305,71102922,100.0,25856163,5774758,743628
0100000US,,United States,621210,Offices of dentists,T,Establishments subject to federal income tax,804,4 largest firms,2002,910,1096739,1.5,240827,60581,7359
0100000US,,United States,621210,Offices of dentists,T,Establishments subject to federal income tax,808,8 largest firms,2002,1419,1518542,2.1,387874,96502,10976
0100000US,,United States,621210,Offices of dentists,T,Establishments subject to federal income tax,820,20 largest firms,2002,1735,2147084,3.0,581794,141535,14761
0100000US,,United States,621210,Offices of dentists,T,Establishments subject to federal income tax,850,50 largest firms,2002,2038,2844203,4.0,880736,209007,20279
0100000US,,United States,6213,Offices of other health practitioners,A,All establishments,001,All firms,2002,104222,37127519,100.0,13403570,3093563,486022
0100000US,,United States,6213,Offices of other health practitioners,A,All establishments,804,4 largest firms,2002,1366,1057574,2.8,515061,129736,16772
0100000US,,United States,6213,Offices of other health practitioners,A,All establishments,808,8 largest firms,2002,1942,1432859,3.9,677389,169103,21709
0100000US,,United States,6213,Offices of other health practitioners,A,All establishments,820,20 largest firms,2002,2441,1909659,5.1,869251,215488,27487
0100000US,,United States,6213,Offices of other health practitioners,A,All establishments,850,50 largest firms,2002,2690,2547168,6.9,1171175,288064,37528
0100000US,,United States,6213,Offices of other health practitioners,T,Establishments subject to federal income tax,001,All firms,2002,104222,37127519,100.0,13403570,3093563,486022
0100000US,,United States,6213,Offices of other health practitioners,T,Establishments subject to federal income tax,804,4 largest firms,2002,1366,1057574,2.8,515061,129736,16772
0100000US,,United States,6213,Offices of other health practitioners,T,Establishments subject to federal income tax,808,8 largest firms,2002,1942,1432859,3.9,677389,169103,21709
0100000US,,United States,6213,Offices of other health practitioners,T,Establishments subject to federal income tax,820,20 largest firms,2002,2441,1909659,5.1,869251,215488,27487
0100000US,,United States,6213,Offices of other health practitioners,T,Establishments subject to federal income tax,850,50 largest firms,2002,2690,2547168,6.9,1171175,288064,37528
0100000US,,United States,62131,Offices of chiropractors,A,All establishments,001,All firms,2002,34358,8974532,100.0,2623378,603540,109734
0100000US,,United States,62131,Offices of chiropractors,A,All establishments,804,4 largest firms,2002,59,74121,0.8,34015,7348,705
0100000US,,United States,62131,Offices of chiropractors,A,All establishments,808,8 largest firms,2002,74,126730,1.4,44703,9781,1133
0100000US,,United States,62131,Offices of chiropractors,A,All establishments,820,20 largest firms,2002,162,201068,2.2,66177,14870,1730
0100000US,,United States,62131,Offices of chiropractors,A,All establishments,850,50 largest firms,2002,225,304872,3.4,105397,23260,2634
0100000US,,United States,62131,Offices of chiropractors,T,Establishments subject to federal income tax,001,All firms,2002,34358,8974532,100.0,2623378,603540,109734
0100000US,,United States,62131,Offices of chiropractors,T,Establishments subject to federal income tax,804,4 largest firms,2002,59,74121,0.8,34015,7348,705
0100000US,,United States,62131,Offices of chiropractors,T,Establishments subject to federal income tax,808,8 largest firms,2002,74,126730,1.4,44703,9781,1133
0100000US,,United States,62131,Offices of chiropractors,T,Establishments subject to federal income tax,820,20 largest firms,2002,162,201068,2.2,66177,14870,1730
0100000US,,United States,62131,Offices of chiropractors,T,Establishments subject to federal income tax,850,50 largest firms,2002,225,304872,3.4,105397,23260,2634
0100000US,,United States,621310,Offices of chiropractors,A,All establishments,001,All firms,2002,34358,8974532,100.0,2623378,603540,109734
0100000US,,United States,621310,Offices of chiropractors,A,All establishments,804,4 largest firms,2002,59,74121,0.8,34015,7348,705
0100000US,,United States,621310,Offices of chiropractors,A,All establishments,808,8 largest firms,2002,74,126730,1.4,44703,9781,1133
0100000US,,United States,621310,Offices of chiropractors,A,All establishments,820,20 largest firms,2002,162,201068,2.2,66177,14870,1730
0100000US,,United States,621310,Offices of chiropractors,A,All establishments,850,50 largest firms,2002,225,304872,3.4,105397,23260,2634
0100000US,,United States,621310,Offices of chiropractors,T,Establishments subject to federal income tax,001,All firms,2002,34358,8974532,100.0,2623378,603540,109734
0100000US,,United States,621310,Offices of chiropractors,T,Establishments subject to federal income tax,804,4 largest firms,2002,59,74121,0.8,34015,7348,705
0100000US,,United States,621310,Offices of chiropractors,T,Establishments subject to federal income tax,808,8 largest firms,2002,74,126730,1.4,44703,9781,1133
0100000US,,United States,621310,Offices of chiropractors,T,Establishments subject to federal income tax,820,20 largest firms,2002,162,201068,2.2,66177,14870,1730
0100000US,,United States,621310,Offices of chiropractors,T,Establishments subject to federal income tax,850,50 largest firms,2002,225,304872,3.4,105397,23260,2634
0100000US,,United States,62132,Offices of optometrists,A,All establishments,001,All firms,2002,18695,8341636,100.0,2476854,578744,93031
0100000US,,United States,62132,Offices of optometrists,A,All establishments,804,4 largest firms,2002,143,178438,2.1,46670,10753,1279
0100000US,,United States,62132,Offices of optometrists,A,All establishments,808,8 largest firms,2002,197,247935,3.0,73286,17406,1988
0100000US,,United States,62132,Offices of optometrists,A,All establishments,820,20 largest firms,2002,312,391797,4.7,120286,29134,3445
0100000US,,United States,62132,Offices of optometrists,A,All establishments,850,50 largest firms,2002,510,623997,7.5,208897,51616,5800
0100000US,,United States,62132,Offices of optometrists,T,Establishments subject to federal income tax,001,All firms,2002,18695,8341636,100.0,2476854,578744,93031
0100000US,,United States,62132,Offices of optometrists,T,Establishments subject to federal income tax,804,4 largest firms,2002,143,178438,2.1,46670,10753,1279
0100000US,,United States,62132,Offices of optometrists,T,Establishments subject to federal income tax,808,8 largest firms,2002,197,247935,3.0,73286,17406,1988
0100000US,,United States,62132,Offices of optometrists,T,Establishments subject to federal income tax,820,20 largest firms,2002,312,391797,4.7,120286,29134,3445
0100000US,,United States,62132,Offices of optometrists,T,Establishments subject to federal income tax,850,50 largest firms,2002,510,623997,7.5,208897,51616,5800
0100000US,,United States,621320,Offices of optometrists,A,All establishments,001,All firms,2002,18695,8341636,100.0,2476854,578744,93031
0100000US,,United States,621320,Offices of optometrists,A,All establishments,804,4 largest firms,2002,143,178438,2.1,46670,10753,1279
0100000US,,United States,621320,Offices of optometrists,A,All establishments,808,8 largest firms,2002,197,247935,3.0,73286,17406,1988
0100000US,,United States,621320,Offices of optometrists,A,All establishments,820,20 largest firms,2002,312,391797,4.7,120286,29134,3445
0100000US,,United States,621320,Offices of optometrists,A,All establishments,850,50 largest firms,2002,510,623997,7.5,208897,51616,5800
0100000US,,United States,621320,Offices of optometrists,T,Establishments subject to federal income tax,001,All firms,2002,18695,8341636,100.0,2476854,578744,93031
0100000US,,United States,621320,Offices of optometrists,T,Establishments subject to federal income tax,804,4 largest firms,2002,143,178438,2.1,46670,10753,1279
0100000US,,United States,621320,Offices of optometrists,T,Establishments subject to federal income tax,808,8 largest firms,2002,197,247935,3.0,73286,17406,1988
0100000US,,United States,621320,Offices of optometrists,T,Establishments subject to federal income tax,820,20 largest firms,2002,312,391797,4.7,120286,29134,3445
0100000US,,United States,621320,Offices of optometrists,T,Establishments subject to federal income tax,850,50 largest firms,2002,510,623997,7.5,208897,51616,5800
0100000US,,United States,62133,Offices of mental health practitioners (except physicians),A,All establishments,001,All firms,2002,13278,3486315,100.0,1445049,335038,55872
0100000US,,United States,62133,Offices of mental health practitioners (except physicians),A,All establishments,804,4 largest firms,2002,51,88953,2.6,37070,8514,1628
0100000US,,United States,62133,Offices of mental health practitioners (except physicians),A,All establishments,808,8 largest firms,2002,88,147475,4.2,68192,15840,3203
0100000US,,United States,62133,Offices of mental health practitioners (except physicians),A,All establishments,820,20 largest firms,2002,142,281981,8.1,135551,31551,5841
0100000US,,United States,62133,Offices of mental health practitioners (except physicians),A,All establishments,850,50 largest firms,2002,265,501669,14.4,227215,53576,9210
0100000US,,United States,62133,Offices of mental health practitioners (except physicians),T,Establishments subject to federal income tax,001,All firms,2002,13278,3486315,100.0,1445049,335038,55872
0100000US,,United States,62133,Offices of mental health practitioners (except physicians),T,Establishments subject to federal income tax,804,4 largest firms,2002,51,88953,2.6,37070,8514,1628
0100000US,,United States,62133,Offices of mental health practitioners (except physicians),T,Establishments subject to federal income tax,808,8 largest firms,2002,88,147475,4.2,68192,15840,3203
0100000US,,United States,62133,Offices of mental health practitioners (except physicians),T,Establishments subject to federal income tax,820,20 largest firms,2002,142,281981,8.1,135551,31551,5841
0100000US,,United States,62133,Offices of mental health practitioners (except physicians),T,Establishments subject to federal income tax,850,50 largest firms,2002,265,501669,14.4,227215,53576,9210
0100000US,,United States,621330,Offices of mental health practitioners (except physicians),A,All establishments,001,All firms,2002,13278,3486315,100.0,1445049,335038,55872
0100000US,,United States,621330,Offices of mental health practitioners (except physicians),A,All establishments,804,4 largest firms,2002,51,88953,2.6,37070,8514,1628
0100000US,,United States,621330,Offices of mental health practitioners (except physicians),A,All establishments,808,8 largest firms,2002,88,147475,4.2,68192,15840,3203
0100000US,,United States,621330,Offices of mental health practitioners (except physicians),A,All establishments,820,20 largest firms,2002,142,281981,8.1,135551,31551,5841
0100000US,,United States,621330,Offices of mental health practitioners (except physicians),A,All establishments,850,50 largest firms,2002,265,501669,14.4,227215,53576,9210
0100000US,,United States,621330,Offices of mental health practitioners (except physicians),T,Establishments subject to federal income tax,001,All firms,2002,13278,3486315,100.0,1445049,335038,55872
0100000US,,United States,621330,Offices of mental health practitioners (except physicians),T,Establishments subject to federal income tax,804,4 largest firms,2002,51,88953,2.6,37070,8514,1628
0100000US,,United States,621330,Offices of mental health practitioners (except physicians),T,Establishments subject to federal income tax,808,8 largest firms,2002,88,147475,4.2,68192,15840,3203
0100000US,,United States,621330,Offices of mental health practitioners (except physicians),T,Establishments subject to federal income tax,820,20 largest firms,2002,142,281981,8.1,135551,31551,5841
0100000US,,United States,621330,Offices of mental health practitioners (except physicians),T,Establishments subject to federal income tax,850,50 largest firms,2002,265,501669,14.4,227215,53576,9210
0100000US,,United States,62134,"Offices of physical, occupational and speech therapists, and audiologists",A,All establishments,001,All firms,2002,19673,10685372,100.0,4871074,1133290,161543
0100000US,,United States,62134,"Offices of physical, occupational and speech therapists, and audiologists",A,All establishments,804,4 largest firms,2002,1325,1037620,9.7,505567,127288,16370
0100000US,,United States,62134,"Offices of physical, occupational and speech therapists, and audiologists",A,All establishments,808,8 largest firms,2002,1999,1401226,13.1,675512,168464,21533
0100000US,,United States,62134,"Offices of physical, occupational and speech therapists, and audiologists",A,All establishments,820,20 largest firms,2002,2276,1797958,16.8,868193,217818,27177
0100000US,,United States,62134,"Offices of physical, occupational and speech therapists, and audiologists",A,All establishments,850,50 largest firms,2002,2447,2298724,21.5,1117413,276822,35768
0100000US,,United States,62134,"Offices of physical, occupational and speech therapists, and audiologists",T,Establishments subject to federal income tax,001,All firms,2002,19673,10685372,100.0,4871074,1133290,161543
0100000US,,United States,62134,"Offices of physical, occupational and speech therapists, and audiologists",T,Establishments subject to federal income tax,804,4 largest firms,2002,1325,1037620,9.7,505567,127288,16370
0100000US,,United States,62134,"Offices of physical, occupational and speech therapists, and audiologists",T,Establishments subject to federal income tax,808,8 largest firms,2002,1999,1401226,13.1,675512,168464,21533
0100000US,,United States,62134,"Offices of physical, occupational and speech therapists, and audiologists",T,Establishments subject to federal income tax,820,20 largest firms,2002,2276,1797958,16.8,868193,217818,27177
0100000US,,United States,62134,"Offices of physical, occupational and speech therapists, and audiologists",T,Establishments subject to federal income tax,850,50 largest firms,2002,2447,2298724,21.5,1117413,276822,35768
0100000US,,United States,621340,"Offices of physical, occupational and speech therapists, and audiologists",A,All establishments,001,All firms,2002,19673,10685372,100.0,4871074,1133290,161543
0100000US,,United States,621340,"Offices of physical, occupational and speech therapists, and audiologists",A,All establishments,804,4 largest firms,2002,1325,1037620,9.7,505567,127288,16370
0100000US,,United States,621340,"Offices of physical, occupational and speech therapists, and audiologists",A,All establishments,808,8 largest firms,2002,1999,1401226,13.1,675512,168464,21533
0100000US,,United States,621340,"Offices of physical, occupational and speech therapists, and audiologists",A,All establishments,820,20 largest firms,2002,2276,1797958,16.8,868193,217818,27177
0100000US,,United States,621340,"Offices of physical, occupational and speech therapists, and audiologists",A,All establishments,850,50 largest firms,2002,2447,2298724,21.5,1117413,276822,35768
0100000US,,United States,621340,"Offices of physical, occupational and speech therapists, and audiologists",T,Establishments subject to federal income tax,001,All firms,2002,19673,10685372,100.0,4871074,1133290,161543
0100000US,,United States,621340,"Offices of physical, occupational and speech therapists, and audiologists",T,Establishments subject to federal income tax,804,4 largest firms,2002,1325,1037620,9.7,505567,127288,16370
0100000US,,United States,621340,"Offices of physical, occupational and speech therapists, and audiologists",T,Establishments subject to federal income tax,808,8 largest firms,2002,1999,1401226,13.1,675512,168464,21533
0100000US,,United States,621340,"Offices of physical, occupational and speech therapists, and audiologists",T,Establishments subject to federal income tax,820,20 largest firms,2002,2276,1797958,16.8,868193,217818,27177
0100000US,,United States,621340,"Offices of physical, occupational and speech therapists, and audiologists",T,Establishments subject to federal income tax,850,50 largest firms,2002,2447,2298724,21.5,1117413,276822,35768
0100000US,,United States,6213401,Speech therapists and audiologists,A,All establishments,001,All firms,2002,3075,1084724,100.0,385062,88705,13803
0100000US,,United States,6213401,Speech therapists and audiologists,A,All establishments,804,4 largest firms,2002,156,55346,5.1,15441,3985,454
0100000US,,United States,6213401,Speech therapists and audiologists,A,All establishments,808,8 largest firms,2002,164,74277,6.8,26376,6416,825
0100000US,,United States,6213401,Speech therapists and audiologists,A,All establishments,820,20 largest firms,2002,178,116456,10.7,48823,11460,1484
0100000US,,United States,6213401,Speech therapists and audiologists,A,All establishments,850,50 largest firms,2002,221,189554,17.5,77526,18046,2295
0100000US,,United States,6213401,Speech therapists and audiologists,T,Establishments subject to federal income tax,001,All firms,2002,3075,1084724,100.0,385062,88705,13803
0100000US,,United States,6213401,Speech therapists and audiologists,T,Establishments subject to federal income tax,804,4 largest firms,2002,156,55346,5.1,15441,3985,454
0100000US,,United States,6213401,Speech therapists and audiologists,T,Establishments subject to federal income tax,808,8 largest firms,2002,164,74277,6.8,26376,6416,825
0100000US,,United States,6213401,Speech therapists and audiologists,T,Establishments subject to federal income tax,820,20 largest firms,2002,178,116456,10.7,48823,11460,1484
0100000US,,United States,6213401,Speech therapists and audiologists,T,Establishments subject to federal income tax,850,50 largest firms,2002,221,189554,17.5,77526,18046,2295
0100000US,,United States,6213402,Physical and occupational therapists,A,All establishments,001,All firms,2002,16598,9600648,100.0,4486012,1044585,147740
0100000US,,United States,6213402,Physical and occupational therapists,A,All establishments,804,4 largest firms,2002,1324,1036003,10.8,504835,127071,16310
0100000US,,United States,6213402,Physical and occupational therapists,A,All establishments,808,8 largest firms,2002,1998,1399609,14.6,674780,168247,21473
0100000US,,United States,6213402,Physical and occupational therapists,A,All establishments,820,20 largest firms,2002,2189,1786933,18.6,875339,217761,27298
0100000US,,United States,6213402,Physical and occupational therapists,A,All establishments,850,50 largest firms,2002,2373,2273108,23.7,1109762,274395,35519
0100000US,,United States,6213402,Physical and occupational therapists,T,Establishments subject to federal income tax,001,All firms,2002,16598,9600648,100.0,4486012,1044585,147740
